Date,Location,Administered_Dose1_Pop_Pct
2022-03-16,DC,95
2022-03-16,DD,0
2022-03-16,DE,82.1
2022-03-16,FL,78.4
2022-03-16,FM,60.6
2022-03-16,GA,64.7
2022-03-16,GU,90
2022-03-16,HI,86.8
2022-03-16,IA,67.5
2022-03-16,ID,60.5
2022-03-16,IH,52
2022-03-16,IL,76.3
2022-03-16,IN,60.9
2022-03-16,KS,73.8
2022-03-16,KY,65.6
2022-03-16,LA,60.5
2022-03-16,MA,95
2022-03-16,MD,85.3
2022-03-16,ME,89.3
2022-03-16,MH,38.7
2022-03-16,MI,66.5
2022-03-16,MN,74.6
2022-03-16,MO,65.6
2022-03-16,MP,87.3
2022-03-16,MS,59
2022-03-16,MT,64.7
2022-03-16,NC,82.8
2022-03-16,ND,64.6
2022-03-16,NE,69.6
2022-03-16,NH,95
2022-03-16,NJ,89.4
2022-03-16,NM,86.4
2022-03-16,NV,74.4
2022-03-16,NY,89.3
2022-03-16,OH,63.1
2022-03-16,OK,70.3
2022-03-16,OR,77.2
2022-03-16,PA,83.7
2022-03-16,PR,95
2022-03-16,PW,94.4
2022-03-16,RI,95
2022-03-16,SC,67
2022-03-16,SD,75.3
2022-03-16,TN,61.6
2022-03-16,TX,71.7
2022-03-16,US,76.7
2022-03-16,UT,71.5
2022-03-16,VA,84.8
2022-03-16,VI,64
2022-03-16,VT,92.7
2022-03-16,WA,80.1
2022-03-16,WI,71.3
2022-03-16,WV,64.4
2022-03-16,WY,58.2
2022-03-17,AK,69
2022-03-17,AL,62.1
2022-03-17,AR,66
2022-03-17,AS,93.4
2022-03-17,AZ,71.9
2022-03-17,BP,0
2022-03-17,CA,82.3
2022-03-17,CO,78.7
2022-03-17,CT,94.3
2022-03-17,DC,95
2022-03-17,DD,0
2022-03-17,DE,82.1
2022-03-17,FL,78.4
2022-03-17,FM,60.7
2022-03-17,GA,64.7
2022-03-17,GU,90.2
2022-03-17,HI,86.8
2022-03-17,IA,67.5
2022-03-17,ID,60.6
2022-03-17,IH,52
2022-03-17,IL,76.3
2022-03-17,IN,60.9
2022-03-17,KS,73.8
2022-03-17,KY,65.6
2022-03-17,LA,60.5
2022-03-17,MA,95
2022-03-17,MD,85.3
2022-03-17,ME,89.3
2022-03-17,MH,38.7
2022-03-17,MI,66.5
2022-03-17,MN,74.6
2022-03-17,MO,65.6
2022-03-17,MP,87.3
2022-03-17,MS,59.1
2022-03-17,MT,64.7
2022-03-17,NC,82.8
2022-03-17,ND,64.6
2022-03-17,NE,69.6
2022-03-17,NH,95
2022-03-17,NJ,89.5
2022-03-17,NM,86.4
2022-03-17,NV,74.4
2022-03-17,NY,89.3
2022-03-17,OH,63.1
2022-03-17,OK,70.3
2022-03-17,OR,77.3
2022-03-17,PA,83.7
2022-03-17,PR,95
2022-03-17,PW,94.5
2022-03-17,RI,95
2022-03-17,SC,67
2022-03-17,SD,75.3
2022-03-17,TN,61.6
2022-03-17,TX,71.7
2022-03-17,US,76.8
2022-03-17,UT,71.5
2022-03-17,VA,84.8
2022-03-17,VI,64.1
2022-03-17,VT,92.7
2022-03-17,WA,80.1
2022-03-17,WI,71.3
2022-03-17,WV,64.4
2022-03-17,WY,58.2
2022-03-18,AK,69
2022-03-18,AL,62.1
2022-03-18,AR,66
2022-03-18,AS,93.5
2022-03-18,AZ,71.9
2022-03-18,BP,0
2022-03-18,CA,82.3
2022-03-18,CO,78.7
2022-03-18,CT,94.4
2022-03-18,DC,95
2022-03-18,DD,0
2022-03-18,DE,82.2
2022-03-18,FL,78.4
2022-03-18,FM,60.7
2022-03-18,GA,64.7
2022-03-18,GU,90.2
2022-03-18,HI,86.8
2022-03-18,IA,67.5
2022-03-18,ID,60.6
2022-03-18,IH,52
2022-03-18,IL,76.2
2022-03-18,IN,60.9
2022-03-18,KS,73.8
2022-03-18,KY,65.6
2022-03-18,LA,60.5
2022-03-18,MA,95
2022-03-18,MD,85.3
2022-03-18,ME,89.3
2022-03-18,MH,38.7
2022-03-18,MI,66.5
2022-03-18,MN,74.6
2022-03-18,MO,65.6
2022-03-18,MP,87.3
2022-03-18,MS,59.1
2022-03-18,MT,64.7
2022-03-18,NC,82.8
2022-03-18,ND,64.6
2022-03-18,NE,69.6
2022-03-18,NH,95
2022-03-18,NJ,89.5
2022-03-18,NM,86.5
2022-03-18,NV,74.4
2022-03-18,NY,89.4
2022-03-18,OH,63.1
2022-03-18,OK,70.3
2022-03-18,OR,77.3
2022-03-18,PA,83.8
2022-03-18,PR,95
2022-03-18,PW,94.5
2022-03-18,RI,95
2022-03-18,SC,67
2022-03-18,SD,75.3
2022-03-18,TN,61.6
2022-03-18,TX,71.7
2022-03-18,US,76.8
2022-03-18,UT,71.5
2022-03-18,VA,84.8
2022-03-18,VI,64.1
2022-03-18,VT,92.7
2022-03-18,WA,80.1
2022-03-18,WI,71.3
2022-03-18,WV,64.5
2022-03-18,WY,58.2
2022-03-19,AK,69
2022-03-19,AL,62.2
2022-03-19,AR,66
2022-03-19,AS,93.6
2022-03-19,AZ,71.9
2022-03-19,BP,0
2022-03-19,CA,82.3
2022-03-19,CO,78.7
2022-03-19,CT,94.4
2022-03-19,DC,95
2022-03-19,DD,0
2022-03-19,DE,82.2
2022-03-19,FL,78.4
2022-03-19,FM,60.7
2022-03-19,GA,64.7
2022-03-19,GU,90.4
2022-03-19,HI,86.8
2022-03-19,IA,67.5
2022-03-19,ID,60.6
2022-03-19,IH,52
2022-03-19,IL,76.2
2022-03-19,IN,60.9
2022-03-19,KS,73.9
2022-03-19,KY,65.6
2022-03-19,LA,60.5
2022-03-19,MA,95
2022-03-19,MD,85.4
2022-03-19,ME,89.3
2022-03-19,MH,38.7
2022-03-19,MI,66.5
2022-03-19,MN,74.6
2022-03-19,MO,65.6
2022-03-19,MP,87.3
2022-03-19,MS,59.1
2022-03-19,MT,64.7
2022-03-19,NC,82.8
2022-03-19,ND,64.6
2022-03-19,NE,69.6
2022-03-19,NH,95
2022-03-19,NJ,89.5
2022-03-19,NM,86.5
2022-03-19,NV,74.4
2022-03-19,NY,89.4
2022-03-19,OH,63.1
2022-03-19,OK,70.3
2022-03-19,OR,77.3
2022-03-19,PA,83.8
2022-03-19,PR,95
2022-03-19,PW,94.5
2022-03-19,RI,95
2022-03-19,SC,67
2022-03-19,SD,75.4
2022-03-19,TN,61.6
2022-03-19,TX,71.8
2022-03-19,US,76.8
2022-03-19,UT,71.5
2022-03-19,VA,84.8
2022-03-19,VI,64.1
2022-03-19,VT,92.8
2022-03-19,WA,80.1
2022-03-19,WI,71.3
2022-03-19,WV,64.5
2022-03-19,WY,58.2
2022-03-20,AK,69
2022-03-20,AL,62.2
2022-03-20,AR,66.1
2022-03-20,AS,93.6
2022-03-20,AZ,72
2022-03-20,BP,0
2022-03-20,CA,82.3
2022-03-20,CO,78.7
2022-03-20,CT,94.4
2022-03-20,DC,95
2022-03-20,DD,0
2022-03-20,DE,82.2
2022-03-20,FL,78.5
2022-03-20,FM,60.7
2022-03-20,GA,64.7
2022-03-20,GU,90.4
2022-03-20,HI,86.8
2022-03-20,IA,67.5
2022-03-20,ID,60.6
2022-03-20,IH,52.1
2022-03-20,IL,76.2
2022-03-20,IN,61
2022-03-20,KS,73.9
2022-03-20,KY,65.6
2022-03-20,LA,60.6
2022-03-20,MA,95
2022-03-20,MD,85.4
2022-03-20,ME,89.3
2022-03-20,MH,38.7
2022-03-20,MI,66.5
2022-03-20,MN,74.6
2022-03-20,MO,65.7
2022-03-20,MP,87.3
2022-03-20,MS,59.1
2022-03-20,MT,64.7
2022-03-20,NC,82.9
2022-03-20,ND,64.6
2022-03-20,NE,69.6
2022-03-20,NH,95
2022-03-20,NJ,89.5
2022-03-20,NM,86.5
2022-03-20,NV,74.5
2022-03-20,NY,89.4
2022-03-20,OH,63.1
2022-03-20,OK,70.3
2022-03-20,OR,77.3
2022-03-20,PA,83.8
2022-03-20,PR,95
2022-03-20,PW,94.5
2022-03-20,RI,95
2022-03-20,SC,67
2022-03-20,SD,75.4
2022-03-20,TN,61.6
2022-03-20,TX,71.8
2022-03-20,US,76.8
2022-03-20,UT,71.5
2022-03-20,VA,84.9
2022-03-20,VI,64.1
2022-03-20,VT,92.8
2022-03-20,WA,80.1
2022-03-20,WI,71.3
2022-03-20,WV,64.5
2022-03-20,WY,58.2
2022-03-21,AK,69.1
2022-03-21,AL,62.2
2022-03-21,AR,66.1
2022-03-21,AS,93.6
2022-03-21,AZ,72
2022-03-21,BP,0
2022-03-21,CA,82.3
2022-03-21,CO,78.7
2022-03-21,CT,94.4
2022-03-21,DC,95
2022-03-21,DD,0
2022-03-21,DE,82.2
2022-03-21,FL,78.5
2022-03-21,FM,61.7
2022-03-21,GA,64.7
2022-03-21,GU,90.4
2022-03-21,HI,86.8
2022-03-21,IA,67.5
2022-03-21,ID,60.6
2022-03-21,IH,52.1
2022-03-21,IL,76.3
2022-03-21,IN,61
2022-03-21,KS,73.9
2022-03-21,KY,65.6
2022-03-21,LA,60.6
2022-03-21,MA,95
2022-03-21,MD,85.4
2022-03-21,ME,89.3
2022-03-21,MH,38.8
2022-03-21,MI,66.5
2022-03-21,MN,74.6
2022-03-21,MO,65.7
2022-03-21,MP,87.3
2022-03-21,MS,59.1
2022-03-21,MT,64.7
2022-03-21,NC,82.9
2022-03-21,ND,64.6
2022-03-21,NE,69.6
2022-03-21,NH,95
2022-03-21,NJ,89.5
2022-03-21,NM,86.5
2022-03-21,NV,74.5
2022-03-21,NY,89.4
2022-03-21,OH,63.1
2022-03-21,OK,70.3
2022-03-21,OR,77.3
2022-03-21,PA,83.8
2022-03-21,PR,95
2022-03-21,PW,94.5
2022-03-21,RI,95
2022-03-21,SC,67
2022-03-21,SD,75.4
2022-03-21,TN,61.6
2022-03-21,TX,71.8
2022-03-21,US,76.8
2022-03-21,UT,71.5
2022-03-21,VA,84.9
2022-03-21,VI,64.1
2022-03-21,VT,92.8
2022-03-21,WA,80.1
2022-03-21,WI,71.3
2022-03-21,WV,64.5
2022-03-21,WY,58.2
2022-03-22,AK,69.1
2022-03-22,AL,62.2
2022-03-22,AR,66.1
2022-03-22,AS,93.6
2022-03-22,AZ,72
2022-03-22,BP,0
2022-03-22,CA,82.4
2022-03-22,CO,78.7
2022-03-22,CT,94.4
2022-03-22,DC,95
2022-03-22,DD,0
2022-03-22,DE,82.2
2022-03-22,FL,78.5
2022-03-22,FM,61.9
2022-03-22,GA,64.8
2022-03-22,GU,90.4
2022-03-22,HI,86.8
2022-03-22,IA,67.5
2022-03-22,ID,60.6
2022-03-22,IH,52.1
2022-03-22,IL,76.3
2022-03-22,IN,61
2022-03-22,KS,73.9
2022-03-22,KY,65.6
2022-03-22,LA,60.6
2022-03-22,MA,95
2022-03-22,MD,85.4
2022-03-22,ME,89.3
2022-03-22,MH,38.8
2022-03-22,MI,66.5
2022-03-22,MN,74.6
2022-03-22,MO,65.7
